prompt,completion
一輩子,一世
跌跌撞撞,一仆一碌
五分鐘,一個字
一個子兒,一個崩
一倍,一個開
一服藥,一劑藥
鐵價不二,一口價
要不然,一唔係
一口,一啖
一口氣,一啖氣
一撮毛,一執毛
問題全解決了,一天都光晒
一對,一孖
顯淺,一字咁淺
一字腿,一字馬
一面砌牆兩面光,一家便宜兩家著
一家老小,一家大細
一雙鞋,一對鞋
山外有山樓外有樓,一山還有一山高
心頭火起,一把火
一束荔枝,一抽荔枝
一串鑰匙,一抽鎖匙
鬧崩了,一拍兩散
一天到晚,一日到黑
一時半會,一時三刻
一個人,一枝公
一道痕跡,一條痕
一道縫兒,一條罅
一把香蕉,一梳蕉
一排牙齒,一棚牙
一把骨頭,一棚骨
一橫一豎,一橫一棟
第一流,一流
一伙人,一班人
一目了然,一眼睇晒
眼觀六路,一眼關七
一根蔗,一碌蔗
一束花,一紮花
一肚子氣,一肚氣
腳踩兩隻船,一腳踏兩船
一手包辦,一腳踢
一塊錢,一蚊雞
一身麻煩,一身蟻
一口氣,一輪嘴
一根甘蔗,一轆蔗
一扇門,一道門
一塌糊塗,一鑊泡
一鍋端,一鑊熟
一會兒,一陣
一條狗,一隻狗
一條香蕉,一隻蕉
一鼻子灰,一面屁
莫名其妙,一頭霧水
一盒帶子,一餅帶
一頓,一餐
一頓飯,一餐飯
差不多,七七八八
亂七八糟,七國咁亂
七夕,七姐旦
熱乎勁兒,三分鐘熱度
三頭對案,三口六面
三明治,三文治
鮭魚,三文魚
三天兩頭,三日唔埋兩日
三歲看老,三歲定八十
領導,上司
上課,上堂
認乾親,上契
去年,上年
掌握,上手
上坡兒,上斜路
上午,上晝
高湯,上湯
公映,上畫
上發條,上鏈
上相,上鏡
上邊兒,上高
下邊兒,下低
下午,下晝
抓手,不求人
活兒,世藝
丟人,丟架
上當,中招
中等,中挺
國樂,中樂
中號,中碼
短大衣,中褸
五分頭,中間界
拼寫,串字
烤肉串兒,串燒
主謀,主腦
有時候,久唔久
罷了,之嘛
乒乓球,乒乓波
啥玩意兒,乜東東
甚麼來頭,乜水
說甚麼,乜野話
什麼,乜鬼
純金,九九金
牛頭不對馬嘴,九唔搭八
九九歌,九因歌
討錢,乞錢
要飯,乞食
烤小豬,乳豬
風雨衣,乾濕褸
牛肉炒粉條,乾炒牛河
直流電,乾電
糊弄,亂咁點
亂套了,亂哂籠
扯淡,亂嗡
亂了套,亂晒龍
亂葬崗子,亂葬崗
亂套,亂龍
狗急跳墻,事急馬行田
因為,事關
老闆娘,事頭婆
敗家子,二世祖
叛徒,二五仔
小人物,二打六
八字鬍子,二撇雞
酸溜魚,五柳魚
一點兒,些少
外公,亞公
叔父,亞叔
哥哥,亞哥
妹妹,亞妹
外婆,亞婆
媽媽,亞媽
嫂嫂,亞嫂
嬸嬸,亞嬸
爸爸,亞爸
頭頭兒,亞頭
交空房,交吉
買賣,交投
交班,交更
交房租,交租
小小年紀,人仔細細
別人,人地
客人,人客
海了去了,人山人海
工資,人工
人怕出名豬怕壯,人怕出名豬怕肥
人情薄如紙,人情紙咁薄
敗類,人渣
人小點子多,人細鬼大
偷渡者,人蛇
盡心盡力,仆心仆命
今年比去年好,今年好過舊年
今非昔比,今時唔同往日
這次,今次
這次,今趟
介意,介懷
兒大不由娘,仔大仔世界
悠閒,他條
還是,仲係
還想,仲想
還想怎樣,仲想點
還有,仲有
隋便挑,任揀
站,企
服務員,企堂
站住,企定
整潔,企理
立領,企領
趴下,伏低
捉迷藏,伏匿匿
服務員,伙計
炊事員,伙頭
猜,估
猜中,估中
想不到,估唔到
